post_title,post_name,ID,post_excerpt,post_content,post_status,post_date,post_author,sku,visibility,product_url,product_page_url,images,tax:category,tax:post_tag,tax:product_type,tax:product_visibility,tax:product_cat,tax:product_tag,tax:product_shipping_class,tax:translation_priority,tax:competition,tax:movie_type,tax:price,attribute:Année,attribute_data:Année,attribute_default:Année,attribute:Name,attribute_data:Name,attribute_default:Name,attribute:Price,attribute_data:Price,attribute_default:Price,attribute:Year,attribute_data:Year,attribute_default:Year,attribute:pa_audience,attribute_data:pa_audience,attribute_default:pa_audience,attribute:pa_audio,attribute_data:pa_audio,attribute_default:pa_audio,attribute:pa_cast,attribute_data:pa_cast,attribute_default:pa_cast,attribute:pa_choose-your-side,attribute_data:pa_choose-your-side,attribute_default:pa_choose-your-side,attribute:pa_competitions,attribute_data:pa_competitions,attribute_default:pa_competitions,attribute:pa_country,attribute_data:pa_country,attribute_default:pa_country,attribute:pa_director,attribute_data:pa_director,attribute_default:pa_director,attribute:pa_distributor,attribute_data:pa_distributor,attribute_default:pa_distributor,attribute:pa_genre,attribute_data:pa_genre,attribute_default:pa_genre,attribute:pa_premiere,attribute_data:pa_premiere,attribute_default:pa_premiere,attribute:pa_producer,attribute_data:pa_producer,attribute_default:pa_producer,attribute:pa_production,attribute_data:pa_production,attribute_default:pa_production,attribute:pa_running_time,attribute_data:pa_running_time,attribute_default:pa_running_time,attribute:pa_screening-day,attribute_data:pa_screening-day,attribute_default:pa_screening-day,attribute:pa_screening-room,attribute_data:pa_screening-room,attribute_default:pa_screening-room,attribute:pa_screening-time,attribute_data:pa_screening-time,attribute_default:pa_screening-time,attribute:pa_screenplay,attribute_data:pa_screenplay,attribute_default:pa_screenplay,attribute:pa_soundtracks,attribute_data:pa_soundtracks,attribute_default:pa_soundtracks,attribute:pa_subtitles,attribute_data:pa_subtitles,attribute_default:pa_subtitles,attribute:pa_year-creation,attribute_data:pa_year-creation,attribute_default:pa_year-creation
Blood Moon,blood-moon,25140,,"<p style=""text-align: justify;"">Let’s go back to Colorado in 1887. The sky is dominated by a blood red moon. In a typical small town, a number of mysterious characters cross paths, among whom Calhoun (Shaun Dooley), a lone gunslinger. They are captured by a band of outlaws, but after a while they discover a bigger threat that might kill them all: a mythical beasts that only comes out when that pretty moon is red. It’s going to be a long night, with any hope of seeing daylight fading fast.</p>
<p style=""text-align: justify;"">Fans of the TV series Misfits are warned. Shaun Dooley is even more frightening on the big screen than as a probation worker. This horror-western was directed by none other than Jeremy Wooding, known for Magnificent Eleven and the hit series Peep show. He situates the story at the end of the Wild West and infuses it with supernatural powers. Just to be clear; this is not Cowboys &amp; Aliens, but a balanced mix between the best genre elements: The Good, the Bad and the Terrifying!</p>",draft,2015-02-23 13:05:42,4739,,hidden,,https://archives.bifff.net/?post_type=product&p=25140,https://archives.bifff.net/wp-content/uploads/2015/02/bloodmoon_poster.jpg,,,simple,exclude-from-catalog|exclude-from-search,2015|movie,,,,,,,,,,,,,,,,,,,CNA,2|1|0,,English,3|1|0,,Anna Skellern|Corey Johnson|Rafaella Degruttola|Shaun Doolly,6|1|0,,,,,Méliès Competition,12|1|0,,UK,1|1|0,,Jeremy Wooding,5|1|0,,Jinga Films,10|1|0,,horror,0|1|0,,,,,Jeremy Wooding|Michael Vine,9|1|0,,,,,,,,,,,,,,,,,Alan Wightman,7|1|0,,Toby Pitman,8|1|0,,Dutch|French,4|1|0,,2014,11|1|0,
Charlie's Farm,charlies-farm,25155,,"Bored with not much to do, Jason, Donkey, Natasha and Melanie head out to Charlie’s farm for the weekend. They want to explore the urban legend of a psycho killer, Charlie, whose parents were murdered by a vengeful mob accusing the couple of terrible doings towards backpackers working the farm. It’s not long into the group’s trip when we’re introduced to Charlie. And he’s hell bent on continuing the family tradition and killing the intruders in the most violent ways imaginable.
<p style=""text-align: justify;"">This slasher from down under is a riotous piece of hack and slash fun that would make good ol’ Wes Craven proud. The plot might have been used countless times (thou shalt not wander into the woods to explore remote cabins with murderous maniacs running around), Charlie’s Farm is made with so much guts and energy and contains plenty of hilarious dialogues and volcanic blood eruptions, that you can only observe the carnage with a satisfied grin on your face.</p>",draft,2015-02-23 14:24:53,4739,,hidden,,https://archives.bifff.net/?post_type=product&p=25155,https://archives.bifff.net/wp-content/uploads/2015/02/charliesfarm_officialposter.jpeg,,,simple,exclude-from-catalog|exclude-from-search,2015|movie,,,,,,,,,,,,,,,,,,,CNA,3|1|0,,English,4|1|0,,Bill Moseley|Kane Hodder|Nathan Jones|Tara Reid,7|1|0,,,,,,,,Australia,2|1|0,,Chris Sun,6|1|0,,Shoreline Ent.,10|1|0,,gore|serial killer|slasher,0|1|0,,European Premiere,1|1|0,,,,,,,,,,,,,,,,,,,,Chris Sun,8|1|0,,Mark Smyth,9|1|0,,Dutch|French,5|1|0,,2014,11|1|0,
Danny's Doomsday,dannys-doomsday,25169,,"<p style=""text-align: justify;"">A disaster of apocalyptical proportions strikes during a relentless heatwave. Danny and his younger brother William have not always been able to get along. They live in a quiet little town where nothing ever happens until the day that climate change leads to the impossible. Deadly monsters crawl out of the ocean and start killing everyone. Danny and William find shelter in their basement, without knowing the fate of their parents or friends. Tension is tight like a knife and William uses the moment to lash out against Danny for having never stood up for him all these times that he got bullied at school. Will the brothers repair their damaged relation and survive the end of the world?</p>
<p style=""text-align: justify;"">The Host meets An Inconvenient Truth. Scandinavia also seems to have a knack at turning out teen oriented genre flicks. Remember Tomas Alfredson’s brilliant Let The Right One In (Golden Raven BIFFF 2009), partly a coming of age drama, partly a vampire movie. Danny’s Doomsday hails from Denmark and is a solid addition to this ever more popular subgenre.</p>
<p style=""text-align: justify;""><a href=""https://archives.bifff.net/wp-content/uploads/2015/02/12.jpg""><img class=""alignleft size-full wp-image-28725"" src=""https://archives.bifff.net/wp-content/uploads/2015/02/12.jpg"" alt=""-12"" width=""85"" height=""85"" /></a></p>
<p style=""text-align: justify;""></p>",draft,2015-02-23 14:35:13,4739,,hidden,,https://archives.bifff.net/?post_type=product&p=25169,https://archives.bifff.net/wp-content/uploads/2015/02/dannydommedag_poster.jpg,,,simple,exclude-from-catalog|exclude-from-search,2015|movie,,,,,,,,,,,,,,,,,,,CA,2|1|0,,Danish,3|1|0,,Emilie Werner Semmelroth|Peter Gantzler|Thomas Garvey|Willliam Jonk Nielsen,6|1|0,,,,,,,,Denmark,1|1|0,,Martin Barnewitz,5|1|0,,Danish Film Institute,10|1|0,,adventure|end of the world|monster movie,0|1|0,,,,,Caroline Blanco|Christian Steengaard Potalivo,9|1|0,,,,,,,,,,,,,,,,,Soren Grinderslev Hansen,7|1|0,,Karsten Fundal,8|1|0,,Dutch|English|French,4|1|0,,2014,11|1|0,
Divine Move (The),divine-move-the,25182,,"Go champion Tae-seok, is sitting in a van outside a gaming den with an earpiece looking at a monitor. He’s giving instructions to his elder brother, who tries to defeat underground kingpin Sal-soo on the Go board. But the gangsters, who are also cheating, are on to them and Tae-sok has to witness his brother getting killed. Sal-soo pins the murder on him, which gets him sent away behind bars for seven years. Inside prison Tae-seok trains his muscles and brains, preparing for his revenge. Once he’s out, he gathers a team of legendary Go-players and starts to infiltrate Sal-soo’s gang, wanting to take them out one by one.
<p style=""text-align: justify;"">Go is an extremely popular strategic game in Asia, with world championships and televised matches drawing crowds of millions. It has an especially huge following in Korea. So it’s no wonder that it proved fertile ground for a hard hitting thriller dealing with gambling, murder, revenge, martial arts and Go itself. Director Beom-gu Cho has turned the game into a life and dead struggle of brawn and brains, starring Woo-sung Jung (The Good, The Bad, The Weird, Reign of Assassins) as Ta-seok.</p>
<p style=""text-align: justify;"">With the support of</p>
<p style=""text-align: justify;""><a href=""http://brussels.korean-culture.org/welcome.do"" target=""_blank""><img class=""alignleft size-full wp-image-25978"" src=""https://archives.bifff.net/wp-content/uploads/2014/10/logo_koreanculturalcenter.jpg"" alt=""Korean Cultural Center logo"" width=""100"" height=""100"" /></a></p>",draft,2015-02-23 14:45:03,4739,,hidden,,https://archives.bifff.net/?post_type=product&p=25182,https://archives.bifff.net/wp-content/uploads/2015/02/thedivinemove_poster.jpg,,,simple,exclude-from-catalog|exclude-from-search,2015|movie,,,,,,,,,,,,,,,,,,,CNA,3|1|0,,Korean,4|1|0,,Ahn Sung-ki|Jung Woo-sung|Lee Bum-soo,7|1|0,,,,,Thriller Competition,1|1|0,,South Korea,2|1|0,,Jo Bum-gu,6|1|0,,Mediaplex Inc.|Showbox,11|1|0,,thriller,0|1|0,,,,,Hwang Keun-ha|May Park,10|1|0,,,,,,,,,,,,,,,,,Jo Bum-gu,8|1|0,,Jang Hyuk-jin,9|1|0,,Dutch|English|French,5|1|0,,2014,12|1|0,
Eat,eat,25196,,"<p style=""text-align: justify;"">Very friendly and very blonde Novella wants to make it big in Hollywood. But she only meets rejection and disappointment, leading to a unique gastronomic psychosis in which Novella starts devouring pieces of her own body. To top it all, she starts a relationship with her shrink. And what he would love to sink his teeth into, you’ll find out in this deliciously bloody and psychedelic splatter fest.</p>
<p style=""text-align: justify;"">Cooking is all the rage now. Especially for the gourmets among us, director Jimmy Weber has concocted an enticing recipe: autophagy, or in other words take a bite out of yourself. It doesn’t always have to be the others to appreciate a slice of meat from your body!</p>
This film is a part of the <a href=""https://archives.bifff.net/festival/movie/the-fantastic-night/"" target=""_blank"">Fantastic Night</a> (4 movies + breakfast) and it isn't possible to buy separate tickets for it.",draft,2015-02-23 14:55:29,4739,,hidden,,https://archives.bifff.net/?post_type=product&p=25196,https://archives.bifff.net/wp-content/uploads/2015/02/eat_poster.jpg,,,simple,exclude-from-catalog|exclude-from-search,2015|movie,,,,,,,,,,,,,,,,,,,CNA,2|1|0,,English,3|1|0,,Ali Francis|Dakota Pike|Jeremy Make|Meggie Maddoc,6|1|0,,,,,,,,USA,1|1|0,,Jimmy Weber,5|1|0,,Pretty People Pictures,10|1|0,,gore|horror,0|1|0,,,,,Annie Baker,9|1|0,,,,,,,,,,,,,,,,,Jimmy Weber,7|1|0,,Jimmy Weber,8|1|0,,Dutch|French,4|1|0,,2013,11|1|0,
Editor (The),editor-the,25209,,"<p style=""text-align: justify;"">Imagine you’re the editor of an Italian giallo movie in the eighties and real murders, accompanied by weird bloody somethings, are taking place on the set. The Canadian The Editor not only gives us a fascinating insight on the set of a typical giallo – almost like the making of an imaginary movie – it’s also a loving homage to this terrific and typically Italian genre.</p>
<p style=""text-align: justify;"">Let’s recapitulate. Giallo’s are mysterious murder tales in which the suspense of a Hitchcock movie is combined with gruesome body horror. Gialli are known for their flamboyant and experimental scripts, strange visuals, strongly elaborated production design, bold use of colors and lots of attention to music and atmosphere. The holy trinity of giallo directors consists of Dario Argento, Mario Bava and Lucio Fulci. The term giallo, Italian for yellow, refers to the color of the cover of the novels that inspired the gialli. Recently the genre has gathered some new international attention with Belgian directors Hélène Cattet and Bruno Forzani’s Amer and The Strange Color of Your Body’s Tears. The Editor, in its own fantastic, absurd and overwhelming way, contributes to the revival of this playful and unique genre.</p>",draft,2015-02-23 15:06:42,4739,,hidden,,https://archives.bifff.net/?post_type=product&p=25209,https://archives.bifff.net/wp-content/uploads/2015/02/theeditor_poster.jpg,,,simple,exclude-from-catalog|exclude-from-search|outofstock,2015|movie,,,Facultatif,,,,,,,,,,,,,,,,CNA,2|1|0,,English,3|1|0,,Adam Brooks|Laurence R. Harvey|Paz de la Huerta|Samantha Hill|Udo Kier,6|1|0,,,,,,,,Canada,1|1|0,,Adam Brooks|Matthew Kennedy,5|1|0,,Films Distributions|Park Ent.,10|1|0,,black comedy|crime|horror|mystery,0|1|0,,,,,Adam Brooks|Matthew Kennedy,9|1|0,,,,,,,,,,,,,,,,,Adam Brooks|Connor Weeney|Matthew Kennedy,7|1|0,,Claudio Simonetti,8|1|0,,Dutch|French,4|1|0,,2014,11|1|0,
Extraterrestrial,extraterrestrial,25220,,"<p style=""text-align: justify;"">A bunch of young people are going to party for a weekend in the woods. Sounds familiar? Are you waiting for the maniac with the axe? Don’t worry. The threat comes from above. After a few very bloody abductions, our heroes realize that the aliens will not stop before they are all anally probed to death. The cat and mouse game can start and there can be only one survivor.</p>
<p style=""text-align: justify;"">If you wanted to describe the atmosphere of Extraterrestrial, you could say it’s a combination of the themes from Signs and Steven Spielberg’s War Of the Worlds, mixed with the tension of a David-Fincher-on-acid. This sci-fi slasher gives a crash-course of what people are going through when they’re picked up by those “friendly” lights in the sky. Extraterrestrial is the latest directorial effort from the Vicious Brothers. They made their mark with Grave Encounters, a true antidote to any Paranormal Activity related franchises. Just to say that these guys know something about rhythm, tension and the art of found footage.</p>",draft,2015-02-23 15:29:03,4739,,hidden,,https://archives.bifff.net/?post_type=product&p=25220,https://archives.bifff.net/wp-content/uploads/2015/02/extraterrestrial_poster.jpg,,,simple,exclude-from-catalog|exclude-from-search,2015|movie,,,,,,,,,,,,,,,,,,,CNA,2|1|0,,English,3|1|0,,Emily Perkins|Freddie Stroma|Gil Bellows|Michael Ironside,6|1|0,,,,,,,,Canada|USA,1|1|0,,Colin Minihan,5|1|0,,Cargo Ent.,10|1|0,,horror|science-fiction,0|1|0,,,,,Martin Fisher|Shawn Angelski,9|1|0,,,,,,,,,,,,,,,,,The Vicious Brothers,7|1|0,,Blitz Berlin,8|1|0,,Dutch|French,4|1|0,,2013,11|1|0,
Zombie Fight Club,zombie-fight-club,25221,,"<p style=""text-align: justify;"">At the end of the century, in a remote corner of the city, in an apartment building full of violence, we meet Jenny, a young model that has a knack for choosing the wrong friends. During one of her many parties, all hell breaks loose and everybody starts drowning in blood.</p>
<p style=""text-align: justify;"">Yes, it’s true. Taiwanese director Joey Chien has a subscription to the BIFFF. After Zombie 108 (2013) and The Apostles (2014), he’s back with Zombie Fight Club. This is no horror homage to David Fincher’s cult classic Fight Club, but more something like The Raid meets Resident Evil meets Highschool of the Dead. Do not expect lots of dialogue and a complicated plot. Tons of gore, scantily clad zombies and meat mincers as weapons are Zombie Fight Club’s forte. If you’re into yummy contemporary B-movies, get ready for a feast of limbs and intestines, starring Michael Wong (Transformers: Age of Extinction), Philip Ng (New Police Story) and Terence Yin (Lara Croft 2). You couldn’t wish for a better club!</p>
With the support of
<a href=""http://www.bhks.be/"" target=""_blank""><img class=""alignleft size-full wp-image-24905"" src=""https://archives.bifff.net/wp-content/uploads/2015/03/bhks_logo.jpg"" alt=""bhks_logo"" width=""85"" height=""85"" /></a><a href=""http://www.hongkong-eu.net/index_ok.php"" target=""_blank""><img class=""alignleft size-medium wp-image-24902"" src=""https://archives.bifff.net/wp-content/uploads/2015/03/BHK-50anniversary_horizontal-300x85.jpg"" alt=""BHK+50anniversary_horizontal"" width=""300"" height=""85"" /></a>",draft,2015-02-23 15:29:13,4739,,hidden,,https://archives.bifff.net/?post_type=product&p=25221,https://archives.bifff.net/wp-content/uploads/2015/02/zombieflightclub_poster.jpg,,,simple,exclude-from-catalog|exclude-from-search|outofstock,2015|movie,,,,,,,,,,,,,,,,,,,CNA,3|1|0,,Chinese,4|1|0,,Andy O|Jessica Cambensy|Michael Wong|Terence Yin,7|1|0,,,,,,,,Hong Kong|Taiwan,2|1|0,,Joe Chien,6|1|0,,Star Alliance Movies,11|1|0,,action|black comedy|end of the world|zombie,0|1|0,,European Premiere,1|1|0,,Gordon Chan|Paco Wong|Paul Cheng,10|1|0,,,,,,,,,,,,,,,,,Joe Chien,8|1|0,,Wei Chun Chen,9|1|0,,Dutch|English|French,5|1|0,,2014,12|1|0,
Faults,faults,25246,,"<p style=""text-align: justify;"">Ansel Roth, a washed out fortysomething, gives a conference speech about sects and the ways in which they manipulate and indoctrinate their members. Once he was a renowned specialist and savior in need for desperate parents. Now he lives from one hotel voucher to another. After the speech, he’s approached by the parents of Claire, a girl who has fallen under the spell of a charismatic cult leader. Ansel sees an opportunity to relive his glory years. He manages to find and save Claire and gets ready to start the deprogramming process. But the girl has learned a thing or two from being in a sect and tries to carry out her own agenda. Who manipulates who?</p>
<p style=""text-align: justify;"">The paranoid black comedy Faults is the debut feature of Riley Stearns. It benefits from two strong leads, Mary Elizabeth Winstead (Death Proof) and Leland Orser (Alien: Resurrection) and gives us a front row ticket to religious madness at its most delicious.</p>",draft,2015-02-23 15:39:44,4739,,hidden,,https://archives.bifff.net/?post_type=product&p=25246,https://archives.bifff.net/wp-content/uploads/2015/02/faults_poster.jpg,,,simple,exclude-from-catalog|exclude-from-search,2015|movie,,,,,,,,,,,,,,,,,,,CNA,2|1|0,,English,4|1|0,,Jon Gries|Lance Reddick|Leland Orser|Mary Elizabeth Winstead,7|1|0,,,,,7th Orbit Competition,1|1|0,,USA,3|1|0,,Riley Stearns,6|1|0,,The Festival Agency,11|1|0,,surreal,0|1|0,,,,,Jessica Wu|Keith Calder,10|1|0,,,,,,,,,,,,,,,,,Riley Stearns,8|1|0,,Heather McIntosh,9|1|0,,Dutch|French,5|1|0,,2014,12|1|0,
Young Ones,young-ones,25257,,"<p style=""text-align: justify;"">It’s not easy to be young in the not so distant future. Together with their father and their sick mother, Mary (Elle Fanning) and Jerome (Kodi Smit-Mc Phee) are trying to make a living in an America where water is more precious that gold and where the dishes are cleaned with dust. It almost looks like the first part of Interstellar, but nobody gets catapulted into space to save mankind.</p>
<p style=""text-align: justify;"">Young Ones is an ambitious project that’s visually stunning and benefits from a strong cast. You know Michael Shannon from Jeff Nichols’ movies like Shotgun Stories and Take Shelter and from TV’s Boardwalk Empire. Elle Fanning made quite an impression in Sofia Coppola’s Somewhere and Kodi Smit-Mc Phee debuted as Viggo Mortensen’s son in The Road. Director Jake Paltrow also delivers great work. He fills his impressive sets with tension and inventive sfx and creates a universe that reminds you at the same time of science-fiction films from the seventies and westerns.</p>",draft,2015-02-23 15:44:41,4739,,hidden,,https://archives.bifff.net/?post_type=product&p=25257,https://archives.bifff.net/wp-content/uploads/2015/02/youngones_poster.jpg,,,simple,exclude-from-catalog|exclude-from-search,2015|movie,,,,,,,,,,,,,,,,,,,CNA,2|1|0,,English,3|1|0,,Elle Fanning|Kodi Smit-McPhee|Michael Shannon|Nicholas Hoult,6|1|0,,,,,,,,Ireland|South Africa|UK|USA,1|1|0,,Jake Paltrow,5|1|0,,6 Sales,9|1|0,,dystopia|science-fiction,0|1|0,,,,,,,,,,,,,,,,,,,,,,,Jake Paltrow,7|1|0,,Nathan Johnson,8|1|0,,Dutch|French,4|1|0,,2014,10|1|0,
