edition,type,subtype,winner,title,director,year,country,premiere,competition,casting,distributor,producer,screenplay,soundtrack,subtitles,audio,length,genre,Fonction Guest,IMDB,Lien IMDB,original_title,URL Poster,text_fr,text_nl,text_en
2006,short,International short film competition,,CULTIVATION,Takehiro Kuwashima,2004,Japan,,International short film competition,"Ryosuke Watabe, Shuhei Kii",,,,,,,18',,,,,,,,,"You have to assume responsibility for your acts,
because there’s no escape."
2006,short,International short film competition,,THE TUB ,Bill Giannakakis,2005,New Zealand,,International short film competition,Simon Ferry,,,,,,,15',"Drama, Fantasy",,,https://www.imdb.com/title/tt0460591/?ref_=fn_tt_tt_3,,,,,Everything happens for a reason.
2006,short,International short film competition,,MAELSTROM,Terry O'Leary,2004,Ireland,,International short film competition,"Ned Dennehy, Gerry O’Brien, Margaret
Toomey, Jude Sweeney",,,,,,,14',Fantasy,,,https://www.imdb.com/title/tt0791125/?ref_=fn_tt_tt_5,,,,,"A man is judged
between life and
death."
2006,short,International short film competition,,REPOSE EN PAIX,Bruno Collet,2005,France,,International short film competition,,,,,,,,2',"Animation, Horror, Comedy",,,https://www.imdb.com/title/tt1343356/?ref_=fn_al_tt_6,,,,,"A parody on the great horror classics; more Tex
Avery than Freddy Krueger."
2006,short,International short film competition,,TURN,Michael Lucas,2005,Australia,,International short film competition,"Peter Templeman, Marney McQueen",,,,,,,11',"Surreal, Comedy",,,,,,,,"A surreal comedy about traffic jams, survival
and love."
2006,short,International short film competition,,A + E,Charlie Bleakley,2005,New Zealand,,International short film competition,,,,,,,,13',"Surreal, Comedy",,,,,,,,Seb arrives in a hospital unlike any other.
2006,short,International short film competition,,DERNIER CRI,Grégory Morin,2005,France,,International short film competition,"Pierre Bellemare, Jo Prestia",,,,,,,6',"Comedy, Horror",,,https://www.imdb.com/title/tt0446552/?ref_=nm_flmg_dr_4,,,,,"A blood curdling confrontation between a thief and
his victim."
2006,short,International short film competition,,MILO 55160,David Ostry,2004,Canada,,International short film competition,"Patrick McKenna, Alec Stockwell, Mark Caven,
Graham Kartna, Anne Tager Page",,,,,,,20',Drama,,,https://www.imdb.com/title/tt0417971/?ref_=fn_al_tt_1,,,,,"A dutiful bureaucrat from paradise embarks for
purgatory to save a young boy’s soul."
2006,short,International short film competition,,EXPLODE RU486,Jesse De Greef,2005,Belgium,,International short film competition,"Chun Hee, Lesly Thomas Holden,
Ted Fletcher, Annet Kelly, Ellyn Eves Hileman",,,,,,,20',Dystopia,,,https://www.imdb.com/title/tt0887905/?ref_=fn_al_tt_1,,,,,"In the near future, technology has gotten the upper
hand on mankind. Everybody lives alone, trapped in
an imploded, virtual version of reality."
2006,short,International short film competition,,THE INTRUDER,Janine Hewitt,2004,Australia,,International short film competition,"Asher Keddie, Bree Desborough,
Dennis Linehan, Martin Terry",,,,,,,13',Horror,,,https://www.imdb.com/title/tt1334012/?ref_=nm_knf_t1,,,,,A prisoner of the past doesn’t have a future.
2006,short,International short film competition,,DOLL N° 639,Andras Dési,2005,Hungary,,International short film competition,"Peter Scherer, Tunde Muranyi",,,,,,,16',Science-Fiction,,,https://www.imdb.com/title/tt0460392/?ref_=nm_knf_t1,,,,,A story that takes place in a future that could be the past.
2006,short,International short film competition,,LES PETITS HOMMES VIEUX,Yann Chayia,2005,France,,International short film competition,"Maxime Pecheteau, Mag Versini,
Maurice Portalier",,,,,,,13',Thriller,,,https://www.imdb.com/title/tt0450478/?ref_=fn_al_tt_1,,,,,"Imagine yourself a young person living in a world
dominated by the elderly."
2006,short,International short film competition,,BUONGIORNO,Melo Prino,2005,Italy,,International short film competition,Domenico Lannutti,,,,,,,5',Comedy,,,https://www.imdb.com/title/tt0839754/?ref_=nm_knf_t1,,,,,A mirror that doesn’t stop with one reflection.
2006,short,International short film competition,,PROTOCOLE 33 ,Benoît Lestang,2005,France,,International short film competition,"Elrik Colvarel Garcia, Clara Choveaux",,,,,,,9',Fantasy,,,https://www.imdb.com/title/tt0480841/?ref_=fn_al_tt_1,,,,,A couple ends up in a sad nightmare.
2006,short,International short film competition,,DER BESTE,"Arne Jysch, Rasmus Borowski",2005,Germany,,International short film competition,"Lutz Mackensy, Petra Schellmann",,,,,,,15',Animation,,,https://www.imdb.com/title/tt1376401/?ref_=nm_knf_t3,,,,,"Harry, aka “the best”,
is offered the job of a
lifetime."
2006,short,International short film competition,,LOS OJOS DE ALICIA,Ugo Sanz,2005,Spain,,International short film competition,Arantza Alvarez,,,,,,,9',"Thriller, Mystery",,,https://www.imdb.com/title/tt0466908/?ref_=nm_knf_t1,,,,,"She’s trapped and can
only communicate
with the outside world
through a television."
2006,short,International short film competition,,PLASTIC,Mark Davis,2005,UK,,International short film competition,"Niko Nicotera, Adnana Istratescu",,,,,,,15',"Comedy, Romance",,,https://www.imdb.com/title/tt0790826/?ref_=fn_tt_tt_4,,,,,"I knew something was wrong with that girl when I
killed her the first time."
2006,short,International short film competition,,THE TEN STEPS,Brendan Muldowney,2004,Ireland,,International short film competition,"Jill Harding, Paula Lee, Gerard Lee,
William O’Sullivan",,,,,,,10',Horror,,,https://www.imdb.com/title/tt0452873/?ref_=nm_knf_t2,,,,,A babysitter and a spooky cellar stairs.
2006,short,International short film competition,,THE HIDDEN FACE,Elbert Van Strien,2004,Netherlands,,International short film competition,"Heleen Mineur, Griete Van Den Akker",,,,,,,15',"Thriller, Horror",,,https://www.imdb.com/title/tt0434412/?ref_=nm_flmg_dr_5,,,,,"An eight-year-old girl asks herself whether her
grandmother is still her grandmother ?"
2006,short,International short film competition,,ANGEL DUST,Guillaume Foresti ,2005,France,,International short film competition,"Christian Canot, Noémie Matharel,
Sylvain Machac, Lucie Borleteau, Claire Delobelle",,,,,,,8',"Thriller, Horror, Mystery",,,https://www.imdb.com/title/tt0764981/?ref_=nm_knf_t4,,,,,"A man reads in his bed. He doesn’t notice how the
sheet is slowly wrapping itself around him."
2006,short,"Belgian Short Film Competition, 2nd Belgian Fantastic Film Day",,YSE,Lionel Jadot,2005,Belgium,,Belgian Short Film Competition,,,,,,,,15',,,,https://www.imdb.com/title/tt0765272/?ref_=nm_flmg_dr_4,,,,,"Ysé doesn’t see things like we do and life is not
the same for her as it is for us."
2006,short,"Belgian Short Film Competition, 2nd Belgian Fantastic Film Day",,TEMPOLIS,Manu Gomez,2005,Belgium,,Belgian Short Film Competition,,,,,,,,6',,,,,,,,,"Jeanne D’Arc and Gilles De Rais had a child,
who would become a Knight of the Order of the
Big Hourglass. He was trained in secret at the
fortress of knowledge : Tempolis."
