edition,type,subtype,winner,title,director,year,country,premiere,competition,casting,distributor,producer,screenplay,soundtrack,subtitles,audio,length,genre,director,Fonction Guest,IMDB,Lien IMDB,original_title,URL Poster,text_fr,text_nl,text_en
2017,short,"Belgian Short Film Competition, 13rd Belgian Fantastic Film Day",,AMPERSAND,Charlotte        Dewulf        ,2016,Belgium,,Belgian Short Film Competition,"Tiemen Van
Haver, Celine Verbeeck, Joren Seldeslachts, Carry
Geossens",,,,,,,15',"Family, Comedy",Charlotte	Dewulf	,,OK,https://www.imdb.com/title/tt5858376/?ref_=fn_al_tt_1,,,,,"In this world you have to drink words if you
want to talk. But you have to pay for it."
2017,short,"Belgian Short Film Competition, 13rd Belgian Fantastic Film Day",,DOWNSIDE	UP,Peter Ghesquière,2016,Belgium,,Belgian Short Film Competition,"Tineke Van
Haute, Peter Janssens, Nico Sturm, Helene De
Vos, Milo Huyghebaert",,,,,,,15',"Drama, Comedy",Peter Ghesquière,,OK,https://www.imdb.com/title/tt6538336/?ref_=fn_al_tt_1,,,,,"In a world where everybody has Down’s syndrome, a “normal” boy like Eric certainly
stands out."
2017,short,"Belgian Short Film Competition, 13rd Belgian Fantastic Film Day",,GERONTOPHOBIA,Boris	Sverlow,2016,"Belgium , Netherlands",,Belgian Short Film Competition,"Marieke Dilles,
Maarten Ketels",,,,,,,15',"Action, Animation",Boris	Sverlow,,OK,https://www.imdb.com/title/tt5577642/?ref_=fn_al_tt_1,,,,,"The quest for eternal youth creates serious side-effects that achieve exactly the
opposite."
2017,short,"Belgian Short Film Competition, 13rd Belgian Fantastic Film Day",,JULIETTE (Short Film),Lora D’Addazio,2016,Belgium,,Belgian Short Film Competition,"Sarah Lefèvre,
Sarah Messens, Eve Lousa Oppo",,,,,,,6',"Horror, Animation",Lora D’Addazio,,OK,https://www.imdb.com/title/tt8248944/?ref_=nm_flmg_dr_3,,,,,"Juliette finds herself in a car with two queen bees who pay no attention whatsoever
to the road."
2017,short,"Belgian Short Film Competition, 13rd Belgian Fantastic Film Day",,NIMMER,Lieven	Vanhove,2016,Belgium,,Belgian Short Film Competition,"Sarah Eisa, Geert
Vandyck",,,,,,,16',"Drama, Animation",Lieven	Vanhove,,OK,https://www.imdb.com/title/tt5693950/?ref_=fn_al_tt_1,,,,,"A man searches for the ultimate solution to save his wife from an imminent
breakdown."
2017,short,"Belgian Short Film Competition, 13rd Belgian Fantastic Film Day",,PATIENT ZERO,Lars	Damoiseaux,2016,Belgium,,Belgian Short Film Competition,"Brenda Bertin,
Charlotte Anne Bongaerts, Johan Dekeyser,
Annick Christiaens, Adil El Arbi, Sieber Marly",,,,,,,3',Horror,Lars	Damoiseaux,,OK,https://www.imdb.com/title/tt6373412/?ref_=fn_al_tt_3,,,,,"An aesthetic rejuvenation trial goes wrong in
a Polish hospital."
2017,short,"Belgian Short Film Competition, 13rd Belgian Fantastic Film Day",,RABBID  JACOB  by Donovan Alonso-Garcia,Donovan	Alonso-Garcia,2017,"Belgium , France",,Belgian Short Film Competition,"Camille
de Leu, Pierre Nisse, Olivier Bonjour, Dan Sluijzer,
Kevin Dudjasienski",,,,,,,20',"Horror, Comedy",Donovan	Alonso-Garcia,,OK,https://www.imdb.com/title/tt6602160/?ref_=fn_al_tt_1,,,,,"Two meteorites crash on Brussels. Jacob has just enough time to restore law and
order."
2017,short,"Belgian Short Film Competition, 13rd Belgian Fantastic Film Day, European Short Film Competition",,SPOOKED,"Spook , Gloom",2017,"Belgium , France",,"Belgian Short Film Competition, European Short Film Competition","David
Mora, Leslie Mahler, David Zella, Yvan Delatour,
Héloïse Lecouvey",,,,,,,12',"Horror, Comedy","Emma Spook , Gil Gloom",,OK,https://www.imdb.com/title/tt7414338/?ref_=fn_tt_tt_13,,,,,When a demonic entity called Darken meets a family of Trump supporters...
2017,short,"Belgian Short Film Competition, 13rd Belgian Fantastic Film Day",,STACEY	EN	DE	ALIEN,Nelson	Polfliet,2016,Belgium,,Belgian Short Film Competition,"Renée Vervaet,
Ineke Nijssen, Anouk Fortunier",,,,,,,16',"Drama, Comedy",Nelson	Polfliet,,OK,https://www.imdb.com/title/tt6715286/?ref_=fn_al_tt_1,,,,,"Stacey’s mum is dead. In order to cope, she turns her world into an alternate universe
where cheerleaders and aliens pop up at every corner."
2017,short,"Belgian Short Film Competition, 13rd Belgian Fantastic Film Day",,THIS	IS	HOW	I	DISAPPEAR,Domien Huyghe,2016,Belgium,,Belgian Short Film Competition,"Violet
Braeckman, Gilda de Bal, Jaela Cole, Sam
Bogaerts",,,,,,,16',,Domien Huyghe,,,,,,,,"In the near future all diseases have been eradicated and euthanasia at 65 is obligatory.
But when a young woman is diagnosed with a genetic defect, it’s a lot harder to
let go of life."
