edition,type,subtype,winner,title,director,year,country,premiere,competition,casting,distributor,producer,screenplay,soundtrack,subtitles,audio,length,genre,Fonction Guest,IMDB,Lien IMDB,original_title,URL Poster,text_fr,text_nl,text_en
1995,short,European short film competition,,LES AILES DE L'OMBRE,"Philippe Robert, Jean-Claude Thibaut",1994,France,,European short film competition,,,,,,,,10',,,,"https:,,www.imdb.com,title,tt0109063,?ref_=fn_al_tt_1",,,,,
1995,short,European short film competition,,ALICIA,Jaume Balaguero,1994,Spain,,European short film competition,"Ana Luna, Elena Luna, Pedro Antonio Segura",,,,,,,8',"Fantasy, Horror",,,"https:,,www.imdb.com,title,tt0178226,?ref_=nm_flmg_wr_17",,,,,
1995,short,European short film competition,,D'AMOUR ET D'OS FRAIS,Cécilia Marreiros Marum,1994,Belgium,,European short film competition,,,,,,,,,,,,,,,,,
1995,short,European short film competition,,B8-E1!,Stefan Jager,1994,Switzerland,,European short film competition,"Otto Dornbierer, Thomas Hostettler, Cyril Rüttimann",,,,,,,12',,,,"https:,,www.imdb.com,title,tt0233020,?ref_=fn_al_tt_1",,,,,
1995,short,European short film competition,,THE BIG STORY,"Tim Watts, David Stoten",1994,UK,,European short film competition,Frank Gorshin,,,,,,,2',"Animation, Comedy ",,,"https:,,www.imdb.com,title,tt0109270,?ref_=fn_al_tt_3",,,,,
1995,short,European short film competition,,BITE IT RIGHT,Miyuki Sakaiya,1995,Italy,,European short film competition,,,,,,,,4',,,,"https:,,www.imdb.com,title,tt0229254,?ref_=fn_al_tt_1",,,,,
1995,short,European short film competition,,BRAINLOOP,LUK Sponselee,1994,Netherlands,,European short film competition,,,,,,,,,,,,,,,,,
1995,short,European short film competition,,CLINIC,Aleksander Bubnov,1993,UKraine,,European short film competition,,,,,,,,13',Animation,,,"https:,,www.imdb.com,title,tt5694506,?ref_=fn_al_tt_2",,,,,
1995,short,European short film competition,,DADA,Johan Opstaele,1994,Belgium,,European short film competition,"Philippe De Martelaere, Tania Kloek, Ellen Ten Damme",,,,,,,20',,,,"https:,,www.imdb.com,title,tt0284993,?ref_=nm_knf_t2",,,,,
1995,short,European short film competition,,DEUS EX MACHINA,Vincent Mayrand,1994,France,,European short film competition,"Géraldine Cotte, Patrick Paroux",,,,,,,18',,,,"https:,,www.imdb.com,title,tt0106711,?ref_=nm_knf_t1",,,,,
1995,short,European short film competition,,DIE FREIHEIT,Zipora Sichrovsky-Fried,1993,Austria,,European short film competition,,,,,,,,10',Drama ,,,"https:,,www.imdb.com,title,tt3910810,?ref_=nm_knf_t1",,,,,
1995,short,European short film competition,,FROM LIFE OF THE PLANT LICE,Vlado Shishkov,1993,Bulgaria,,European short film competition,,,,,,,,,,,,,,,,,
1995,short,European short film competition,,GUTE NACHT JOHANN,Andreas Prochaska,1993,Austria,,European short film competition,,,,,,,,,,,,"https:,,www.imdb.com,title,tt0107063,?ref_=nv_sr_srsg_0",,,,,
1995,short,European short film competition,,IGNOTUS,Covadonga Icaza,1993,Spain,,European short film competition,"Julio Vélez, Miguel Hermoso Arnao, María Icaza",,,,,,,15',Comedy,,,"https:,,www.imdb.com,title,tt0123903,?ref_=fn_al_tt_3",,,,,
1995,short,European short film competition,,INTRUSOS III,Arantxa Vela Buendia,1994,Spain,,European short film competition,"Gloria Berrocal, Juana Cordero, Pietro Olivera",,,,,,,17',,,,"https:,,www.imdb.com,title,tt0788106,?ref_=nm_flmg_dr_3",,,,,
1995,short,European short film competition,,THE JAZZ GALLERY,Magnus Carlsson,1993,Sweden,,European short film competition,,,,,,,,,,,,,,,,,
1995,short,European short film competition,,LUCE NERA,"Paola Bocci, Franco Fraternale",1994,Italy,,European short film competition,,,,,,,,12',,,,"https:,,www.imdb.com,title,tt0285309,?ref_=fn_al_tt_1",,,,,
1995,short,European short film competition,,LA MISSION DU FOU,Adrien Lasserre,1994,Belgium,,European short film competition,,,,,,,,,,,,,,,,,
1995,short,European short film competition,,MR. SUNDAY,Allel El-Berkani,1993,Belgium,,European short film competition,Manou Kersting,,,,,,,10',,,,"https:,,www.imdb.com,title,tt0488586,?ref_=fn_al_tt_3",,,,,
1995,short,European short film competition,,ONE NIGHT STAND,Bill Britten,1993,UK,,European short film competition,"Jemma Redgrave, James Purefoy",,,,,,,,,,,"https:,,www.imdb.com,title,tt0206191,?ref_=nm_knf_t1",,,,,
1995,short,European short film competition,,LE PETIT ROUGE,Manuel Gomez,1994,Belgium,,European short film competition,"François Négret, Sabrina Leurquin, Patrick Descamps",,,,,,,8',,,,"https:,,www.imdb.com,title,tt0185604,?ref_=fn_al_tt_1",,,,,
1995,short,European short film competition,,THE REBODY,Jochen Schmidt,1993,Germany,,European short film competition,,,,,,,,,,,,,,,,,
1995,short,European short film competition,,LA ROMANCE DE L'HOMME SANS BOSSE,Mikaël Dovlatian,1994,Czech Republic,,European short film competition,,,,,,,,,,,,,,,,,
